era,launch_year,product_name,category,product_type,shade_code,shade_name,shade_description,finish,finish_group,color_family,shade_depth_order,shade_depth_group,undertone_inferred_cmyk,undertone_confidence,shade_function,c_pct,m_pct,y_pct,k_pct,color_value_source,is_oos
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,150,Spicy,Metallic Copper,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,34,51,24,converted_from_rgb,true
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,140,Shady,Metallic Champagne,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,13,16,7,converted_from_rgb,false
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,230,Serving,Pinky Nude with Iridescent Pearl,Metallic,metallic_shimmer,nude,,,unknown,low,color_cosmetic,0,27,24,28,converted_from_rgb,true
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,200,Out Late,Metallic Black,Metallic,metallic_shimmer,black_gray,,,unknown,low,color_cosmetic,5,5,0,69,converted_from_rgb,false
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,220,Mood Swing,Blue and Purple,Duochrome,duochrome,multi_duochrome,,,unknown,low,color_cosmetic,7,28,0,40,converted_from_rgb,true
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,190,Extra,Metallic Gold,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,14,54,9,converted_from_rgb,false
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,210,Clapback,Pink and Bronze Duochrome,Duochrome,duochrome,multi_duochrome,,,unknown,low,color_cosmetic,0,45,43,31,converted_from_rgb,false
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,160,Cancelled,Green,Metallic,metallic_shimmer,green,,,unknown,low,color_cosmetic,2,0,32,23,converted_from_rgb,true
revival,2026,Flashes Mascara,Eyes,Mascara,2,Cocoa,Cocoa,n/a,none_na,brown,,,unknown,low,color_cosmetic,0,26,36,57,converted_from_rgb,false
revival,2026,Flashes Mascara,Eyes,Mascara,3,Indigo,Indigo,n/a,none_na,blue,,,unknown,low,color_cosmetic,89,70,0,59,converted_from_rgb,false
revival,2026,Flashes Mascara,Eyes,Mascara,1,Onyx,Onyx,n/a,none_na,black_gray,,,unknown,low,color_cosmetic,17,22,0,93,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,601,That's Hot,Intense Pop Pink,High Shine,shine_gloss,pink,,,unknown,low,color_cosmetic,0,65,29,1,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,600,Pop Off,Bright Electric Purple,High Shine,shine_gloss,purple,,,unknown,low,color_cosmetic,0,65,1,41,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,400,On Red,Blue Intense Red,High Shine,shine_gloss,red,,,unknown,low,color_cosmetic,0,86,77,19,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,107,Mutuals Only,Deep Warm Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,49,56,39,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,500,Mauve On,Cool Purple Pink,High Shine,shine_gloss,berry_plum,,,unknown,low,color_cosmetic,0,53,45,27,converted_from_rgb,true
revival,2026,Heart On Lipstick,Lips,Lipstick,101,Love Muscle,Cool Fair Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,36,32,5,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,200,Love Drunk,Soft Nude Pink,High Shine,shine_gloss,pink,,,unknown,low,color_cosmetic,0,53,50,4,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,102,Lips Don't Lie,Cool Light Brown Beige,High Shine,shine_gloss,nude,,,unknown,low,color_cosmetic,0,37,38,29,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,105,Kinky Business,Warm Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,46,42,36,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,301,Hot Blooded,True Warm Orange,High Shine,shine_gloss,coral_orange,,,unknown,low,color_cosmetic,0,63,67,20,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,202,Hot & Bothered,Mauvy Deep Pink,High Shine,shine_gloss,pink,,,unknown,low,color_cosmetic,0,70,55,14,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,201,Heart Attack,Fresh Vibrant Pink,High Shine,shine_gloss,pink,,,unknown,low,color_cosmetic,0,78,60,6,converted_from_rgb,false
revival,2026,Heart On Lipstick,Lips,Lipstick,108,Heart & Fast,Deep Chocolate Brown,High Shine,shine_gloss,brown,,,unknown,low,color_cosmetic,0,62,59,36,converted_from_rgb,false
